date,uf,suspects,refuses,cases,deaths,recovers
2020-01-30,MG,1,0,0,0,0
2020-01-30,RJ,1,0,0,0,0
2020-01-30,SC,0,2,0,0,0
2020-01-30,SP,3,1,0,0,0
2020-01-30,RS,2,2,0,0,0
2020-01-30,PR,1,1,0,0,0
2020-01-30,CE,1,0,0,0,0
2020-01-31,RS,2,3,0,0,0
2020-01-31,SC,1,2,0,0,0
2020-01-31,PR,1,1,0,0,0
2020-01-31,MG,1,0,0,0,0
2020-01-31,RJ,0,1,0,0,0
2020-01-31,CE,1,0,0,0,0
2020-01-31,SP,7,2,0,0,0
2020-02-01,SC,2,2,0,0,0
2020-02-01,RS,4,3,0,0,0
2020-02-01,SP,8,2,0,0,0
2020-02-01,PR,1,1,0,0,0
2020-02-01,MG,0,1,0,0,0
2020-02-01,CE,1,0,0,0,0
2020-02-01,RJ,0,1,0,0,0
2020-02-02,RS,4,3,0,0,0
2020-02-02,PR,1,1,0,0,0
2020-02-02,SP,8,2,0,0,0
2020-02-02,SC,2,2,0,0,0
2020-02-02,MG,0,1,0,0,0
2020-02-02,CE,1,0,0,0,0
2020-02-02,RJ,0,1,0,0,0
2020-02-03,SC,2,2,0,0,0
2020-02-03,CE,0,1,0,0,0
2020-02-03,MG,0,1,0,0,0
2020-02-03,RJ,1,1,0,0,0
2020-02-03,SP,7,3,0,0,0
2020-02-03,PR,0,2,0,0,0
2020-02-03,RS,4,3,0,0,0
2020-02-04,SC,2,2,0,0,0
2020-02-04,RS,4,3,0,0,0
2020-02-04,SP,6,5,0,0,0
2020-02-04,PR,0,2,0,0,0
2020-02-04,MG,0,1,0,0,0
2020-02-04,CE,0,1,0,0,0
2020-02-04,RJ,1,2,0,0,0
2020-02-05,CE,0,1,0,0,0
2020-02-05,MG,0,1,0,0,0
2020-02-05,RJ,1,2,0,0,0
2020-02-05,SP,4,9,0,0,0
2020-02-05,PR,0,2,0,0,0
2020-02-05,SC,1,3,0,0,0
2020-02-05,RS,5,3,0,0,0
2020-02-06,SP,6,20,0,0,0
2020-02-06,RS,6,10,0,0,0
2020-02-06,SC,2,6,0,0,0
2020-02-06,PR,0,4,0,0,0
2020-02-06,RJ,2,4,0,0,0
2020-02-06,CE,0,2,0,0,0
2020-02-06,MG,2,2,0,0,0
2020-02-07,RS,2,6,0,0,0
2020-02-07,SC,1,3,0,0,0
2020-02-07,PR,0,2,0,0,0
2020-02-07,SP,3,11,0,0,0
2020-02-07,MG,1,1,0,0,0
2020-02-07,CE,0,1,0,0,0
2020-02-07,RJ,1,2,0,0,0
2020-02-08,SC,1,3,0,0,0
2020-02-08,CE,0,1,0,0,0
2020-02-08,MG,1,1,0,0,0
2020-02-08,RJ,1,2,0,0,0
2020-02-08,SP,2,13,0,0,0
2020-02-08,PR,0,2,0,0,0
2020-02-08,RS,3,6,0,0,0
2020-02-09,PR,1,2,0,0,0
2020-02-09,RS,3,6,0,0,0
2020-02-09,SP,3,13,0,0,0
2020-02-09,SC,1,3,0,0,0
2020-02-09,MG,1,1,0,0,0
2020-02-09,RJ,2,2,0,0,0
2020-02-09,CE,0,1,0,0,0
2020-02-10,SC,0,4,0,0,0
2020-02-10,PR,1,2,0,0,0
2020-02-10,SP,3,13,0,0,0
2020-02-10,RS,1,8,0,0,0
2020-02-10,MG,1,1,0,0,0
2020-02-10,CE,0,1,0,0,0
2020-02-10,RJ,1,3,0,0,0
2020-02-11,CE,0,1,0,0,0
2020-02-11,MG,1,1,0,0,0
2020-02-11,RJ,2,3,0,0,0
2020-02-11,SP,3,14,0,0,0
2020-02-11,PR,1,2,0,0,0
2020-02-11,SC,0,4,0,0,0
2020-02-11,RS,1,8,0,0,0
2020-02-12,SC,0,4,0,0,0
2020-02-12,RS,1,8,0,0,0
2020-02-12,SP,6,14,0,0,0
2020-02-12,PR,1,2,0,0,0
2020-02-12,MG,1,1,0,0,0
2020-02-12,CE,0,1,0,0,0
2020-02-12,RJ,2,3,0,0,0
2020-02-13,RS,2,8,0,0,0
2020-02-13,CE,0,1,0,0,0
2020-02-13,MG,0,2,0,0,0
2020-02-13,RJ,0,5,0,0,0
2020-02-13,SP,3,17,0,0,0
2020-02-13,PR,1,2,0,0,0
2020-02-13,SC,0,4,0,0,0
2020-02-13,DF,0,1,0,0,0
2020-02-14,RS,2,8,0,0,0
2020-02-14,SC,0,4,0,0,0
2020-02-14,PR,1,2,0,0,0
2020-02-14,CE,0,1,0,0,0
2020-02-14,RJ,0,5,0,0,0
2020-02-14,MG,0,2,0,0,0
2020-02-14,DF,0,1,0,0,0
2020-02-14,SP,1,20,0,0,0
2020-02-15,DF,0,1,0,0,0
2020-02-15,SC,0,4,0,0,0
2020-02-15,RS,1,9,0,0,0
2020-02-15,PR,0,3,0,0,0
2020-02-15,MG,0,2,0,0,0
2020-02-15,RJ,0,5,0,0,0
2020-02-15,CE,0,1,0,0,0
2020-02-15,SP,2,20,0,0,0
2020-02-16,CE,0,1,0,0,0
2020-02-16,MG,0,2,0,0,0
2020-02-16,RJ,0,5,0,0,0
2020-02-16,SP,2,20,0,0,0
2020-02-16,PR,0,3,0,0,0
2020-02-16,SC,0,4,0,0,0
2020-02-16,RS,1,9,0,0,0
2020-02-16,DF,0,1,0,0,0
2020-02-17,DF,0,1,0,0,0
2020-02-17,RS,1,9,0,0,0
2020-02-17,SC,0,4,0,0,0
2020-02-17,PR,0,3,0,0,0
2020-02-17,CE,0,1,0,0,0
2020-02-17,RJ,0,5,0,0,0
2020-02-17,MG,0,2,0,0,0
2020-02-17,SP,2,20,0,0,0
2020-02-18,SC,0,4,0,0,0
2020-02-18,DF,0,1,0,0,0
2020-02-18,RS,1,9,0,0,0
2020-02-18,PR,0,3,0,0,0
2020-02-18,CE,0,1,0,0,0
2020-02-18,RJ,0,5,0,0,0
2020-02-18,MG,0,2,0,0,0
2020-02-18,SP,4,20,0,0,0
2020-02-19,CE,0,1,0,0,0
2020-02-19,MG,0,2,0,0,0
2020-02-19,RJ,0,5,0,0,0
2020-02-19,SP,1,23,0,0,0
2020-02-19,PR,0,3,0,0,0
2020-02-19,SC,0,4,0,0,0
2020-02-19,RS,1,9,0,0,0
2020-02-19,DF,0,1,0,0,0
